Browser,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),INP (s)
Chrome Mobile WebView-131-Android 14,1522932,6.92,0.0,0.58,0.0,5.38,0.0,0.0,0.33,3.27,3.61,8.35,2.67,4.48,1.42,0.36
Chrome Mobile iOS-120-iOS 17,885907,4.5,0.0,0.82,0.0,3.36,0.0,0.0,0.0,2.32,2.43,4.99,10.7,19.59,2.61,4.84
Chrome Mobile iOS-121-iOS 17,3733854,4.17,0.0,0.75,0.0,3.16,0.0,0.0,0.0,2.19,2.28,4.69,9.73,15.89,2.3,1.064
Chrome Mobile iOS-122-iOS 17,4739566,4.18,0.0,0.79,0.0,3.13,0.0,0.0,0.0,2.28,2.37,4.8,9.41,19.07,1.91,0.128
Chrome Mobile iOS-123-iOS 17,6507195,4.28,0.0,0.84,0.0,3.17,0.0,0.0,0.0,2.29,2.38,4.91,8.03,16.33,1.96,0.416
Chrome Mobile iOS-124-iOS 17,5252184,4.54,0.0,0.9,0.0,3.38,0.0,0.0,0.0,2.27,2.36,5.06,5.73,10.28,3.28,0.208
Chrome Mobile iOS-125-iOS 17,5140552,4.46,0.0,0.9,0.0,3.26,0.0,0.0,0.0,2.24,2.34,5.03,4.46,9.32,2.33,0.2
Chrome Mobile iOS-126-iOS 17,9102644,4.61,0.0,0.9,0.0,3.17,0.0,0.0,0.0,2.45,2.59,5.1,9.51,21.8,1.54,0.344
Chrome Mobile iOS-127-iOS 17,4285027,5.09,0.0,0.9,0.0,3.63,0.0,0.0,0.0,2.47,2.63,5.35,12.69,18.42,1.0,0.192
Chrome Mobile iOS-128-iOS 17,5325906,5.23,0.0,1.01,0.0,3.56,0.0,0.0,0.0,2.56,2.72,5.47,9.2,18.05,0.67,0.192
Chrome Mobile iOS-129-iOS 17,3282821,5.15,0.0,1.13,0.0,3.18,0.0,0.0,0.0,2.57,2.83,5.55,8.13,16.3,1.1,0.192
Chrome Mobile iOS-129-iOS 18,1242549,5.04,0.0,1.05,0.0,3.1,0.0,0.0,0.0,2.51,2.76,5.3,7.14,8.6,0.63,0.288
Chrome Mobile iOS-130-iOS 17,2735589,5.42,0.0,0.54,0.0,3.35,0.0,0.0,0.0,2.58,2.88,5.82,7.69,9.13,1.03,0.136
Chrome Mobile iOS-130-iOS 18,1772975,5.25,0.0,0.54,0.0,3.2,0.0,0.0,0.0,2.55,2.81,5.54,6.4,8.77,0.55,0.256
Chrome Mobile iOS-131-iOS 17,3075888,5.68,0.0,0.48,0.0,3.6,0.0,0.0,0.0,2.68,2.99,5.93,7.04,8.7,1.1,0.56
Chrome Mobile iOS-131-iOS 18,12222473,5.26,0.0,0.47,0.0,3.24,0.0,0.0,0.0,2.57,2.83,5.63,5.32,6.96,1.04,0.208
Chrome Mobile iOS-132-iOS 18,2014902,5.28,0.0,0.47,0.0,3.16,0.0,0.0,0.0,2.86,3.13,5.56,17.14,6.57,0.05,0.064
Chrome Mobile-121-Android 12,1095484,13.21,0.0,0.8,0.0,11.79,0.0,0.0,0.1,5.44,5.79,14.14,2.93,6.01,3.6,0.552
Chrome Mobile-121-Android 13,2346568,10.38,0.0,0.79,0.0,9.12,0.0,0.0,0.1,4.28,4.5,12.95,2.52,5.21,3.07,0.392
Chrome Mobile-121-Android 14,7508206,6.6,0.0,0.76,0.0,5.51,0.0,0.0,0.09,2.99,3.12,9.03,1.99,3.97,1.4,0.264
Chrome Mobile-122-Android 12,1326310,13.13,0.0,0.83,0.0,11.6,0.0,0.0,0.11,5.5,5.84,13.02,2.78,6.07,3.21,0.528
Chrome Mobile-122-Android 13,2871614,9.82,0.0,0.82,0.0,8.53,0.0,0.0,0.1,4.22,4.41,11.91,2.4,5.16,2.68,0.36
Chrome Mobile-122-Android 14,10219724,6.27,0.0,0.79,0.0,5.15,0.0,0.0,0.09,2.99,3.09,7.88,1.95,3.94,1.17,0.224
Chrome Mobile-123-Android 12,1338840,12.86,0.0,0.9,0.0,11.34,0.0,0.0,0.11,5.58,5.95,13.22,2.76,5.88,3.22,0.528
Chrome Mobile-123-Android 13,2716257,9.95,0.0,0.88,0.0,8.64,0.0,0.0,0.11,4.41,4.63,12.19,2.42,5.1,2.76,0.368
Chrome Mobile-123-Android 14,10897869,6.48,0.0,0.84,0.0,5.31,0.0,0.0,0.1,3.13,3.25,8.03,1.98,3.93,1.21,0.224
Chrome Mobile-124-Android 12,1055517,14.72,0.01,0.95,0.0,13.1,0.01,0.0,0.1,6.25,6.69,14.97,3.43,6.5,3.4,0.656
Chrome Mobile-124-Android 13,2268499,11.29,0.0,0.93,0.0,9.93,0.0,0.0,0.1,4.85,5.11,13.79,2.88,5.57,2.99,0.44
Chrome Mobile-124-Android 14,9834394,7.05,0.0,0.89,0.0,5.82,0.0,0.0,0.09,3.26,3.4,9.5,2.17,4.09,1.35,0.272
Chrome Mobile-125-Android 12,1342732,11.93,0.04,0.95,0.0,10.36,0.03,0.0,0.11,4.89,5.35,12.36,2.73,5.66,2.63,0.464
Chrome Mobile-125-Android 13,2745237,9.87,0.03,0.94,0.0,8.47,0.02,0.0,0.11,4.11,4.42,11.8,2.48,5.07,2.41,0.344
Chrome Mobile-125-Android 14,12591967,6.31,0.0,0.91,0.0,5.05,0.0,0.0,0.1,2.93,3.08,7.78,2.02,3.82,1.03,0.208
Chrome Mobile-126-Android 12,1581815,12.32,0.0,0.97,0.0,10.61,0.0,0.0,0.12,5.29,5.99,12.71,2.89,6.18,2.87,0.52
Chrome Mobile-126-Android 13,3419357,10.39,0.0,0.94,0.0,8.82,0.0,0.0,0.11,4.68,5.19,12.06,2.64,5.55,2.62,0.408
Chrome Mobile-126-Android 14,16637619,6.62,0.0,0.91,0.0,5.2,0.0,0.0,0.11,3.36,3.63,8.26,2.14,4.16,1.22,0.24
Chrome Mobile-127-Android 12,1276770,13.21,0.0,0.97,0.0,11.59,0.0,0.0,0.09,5.31,6.19,11.7,2.74,5.5,2.66,0.472
Chrome Mobile-127-Android 13,2645031,10.9,0.0,0.95,0.0,9.3,0.0,0.0,0.09,4.67,5.33,11.3,2.53,5.07,2.51,0.36
Chrome Mobile-127-Android 14,14667622,6.8,0.0,0.9,0.0,5.445,0.0,0.0,0.08499999999999999,3.205,3.48,7.720000000000001,2.035,3.8099999999999996,1.21,0.21600000000000003
Chrome Mobile-128-Android 12,840555,11.57,0.0,1.18,0.0,9.6,0.0,0.0,0.1,4.73,5.57,11.09,2.87,5.72,2.23,0.416
