Region,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),INP (s)
ALABAMA,15954934,5.52,0.0,0.79,0.0,4.02,0.0,0.0,0.0,2.7300000000000004,2.9450000000000003,6.23,2.53,4.635,1.685,0.29600000000000004
ARIZONA,14818081,6.25,0.0,0.8400000000000001,0.0,4.785,0.0,0.0,0.0,2.675,2.88,5.995,2.49,4.42,1.4449999999999998,0.268
ARKANSAS,5315845,5.615,0.0,0.755,0.0,4.225,0.0,0.0,0.0,2.67,2.875,6.074999999999999,2.48,4.6,1.685,0.3005
CALIFORNIA,101355480,6.199999999999999,0.0,0.815,0.0,4.82,0.0,0.0,0.0,2.6100000000000003,2.8200000000000003,5.88,2.455,4.4,1.49,0.276
COLORADO,11891149,6.145,0.0,0.9099999999999999,0.0,4.595,0.0,0.0,0.0,2.7800000000000002,2.995,6.245,2.5,4.4399999999999995,1.435,0.268
CONNECTICUT,12535500,5.109999999999999,0.0,0.76,0.0,3.65,0.0,0.0,0.0,2.5700000000000003,2.7750000000000004,5.975,2.435,4.355,1.62,0.28400000000000003
DELAWARE,3080965,4.755,0.0,0.71,0.0,3.42,0.0,0.0,0.0,2.35,2.55,5.79,2.245,4.115,1.565,0.272
DISTRICT OF COLUMBIA,4489738,5.88,0.0,0.875,0.0,4.295,0.0,0.0,0.0,3.02,3.24,6.4350000000000005,2.645,4.66,1.6349999999999998,0.304
FLORIDA,53721055,5.215,0.0,0.835,0.0,3.67,0.0,0.0,0.0,2.645,2.845,6.05,2.48,4.475,1.625,0.28
GEORGIA,34681501,5.449999999999999,0.0,0.815,0.0,3.9299999999999997,0.0,0.0,0.0,2.73,2.9450000000000003,6.185,2.51,4.57,1.645,0.29600000000000004
HAWAII,1000119,7.15,0.0,0.97,0.0,5.445,0.0,0.0,0.0,3.1550000000000002,3.375,6.285,2.815,4.805,1.31,0.256
IDAHO,3759212,6.43,0.0,0.8500000000000001,0.0,4.965,0.0,0.0,0.0,2.7249999999999996,2.935,6.0600000000000005,2.4450000000000003,4.41,1.4049999999999998,0.264
ILLINOIS,49091940,5.295,0.0,0.76,0.0,3.8850000000000002,0.0,0.0,0.0,2.605,2.8200000000000003,6.12,2.38,4.375,1.605,0.28
INDIANA,22861523,5.09,0.0,0.74,0.0,3.715,0.0,0.0,0.0,2.535,2.735,6.015000000000001,2.335,4.3149999999999995,1.63,0.28400000000000003
IOWA,9495138,5.425,0.0,0.79,0.0,4.03,0.0,0.0,0.0,2.6550000000000002,2.855,6.175000000000001,2.335,4.28,1.4649999999999999,0.264
KANSAS,7876654,5.4399999999999995,0.0,0.755,0.0,4.045,0.0,0.0,0.0,2.58,2.785,6.08,2.355,4.33,1.555,0.28400000000000003
KENTUCKY,14954985,4.975,0.0,0.6950000000000001,0.0,3.63,0.0,0.0,0.0,2.4450000000000003,2.65,5.865,2.33,4.325,1.665,0.29600000000000004
LOUISIANA,34551483,6.275,0.0,0.885,0.0,4.65,0.0,0.0,0.0,3.0549999999999997,3.26,6.404999999999999,2.665,4.775,1.48,0.272
MAINE,4257054,5.025,0.0,0.78,0.0,3.575,0.0,0.0,0.0,2.58,2.7800000000000002,6.015000000000001,2.4299999999999997,4.355,1.475,0.272
MARYLAND,19909208,4.92,0.0,0.74,0.0,3.55,0.0,0.0,0.0,2.455,2.665,5.96,2.265,4.18,1.625,0.28
MASSACHUSETTS,26361034,5.055,0.0,0.76,0.0,3.58,0.0,0.0,0.0,2.5549999999999997,2.755,5.975,2.485,4.415,1.625,0.28400000000000003
MICHIGAN,32248909,5.27,0.0,0.75,0.0,3.8449999999999998,0.0,0.0,0.0,2.5999999999999996,2.81,6.18,2.395,4.375,1.595,0.28400000000000003
MINNESOTA,16798477,5.605,0.0,0.825,0.0,4.135,0.0,0.0,0.0,2.68,2.885,6.18,2.36,4.28,1.435,0.268
MISSISSIPPI,5675457,5.3,0.0,0.72,0.0,3.8999999999999995,0.0,0.0,0.0,2.58,2.79,5.865,2.5700000000000003,4.725,1.7600000000000002,0.31999999999999995
MISSOURI,17309493,5.38,0.0,0.775,0.0,3.965,0.0,0.0,0.0,2.63,2.835,6.140000000000001,2.3600000000000003,4.38,1.5899999999999999,0.28400000000000003
NEBRASKA,6001872,5.62,0.0,0.79,0.0,4.195,0.0,0.0,0.0,2.675,2.885,6.16,2.37,4.335,1.505,0.276
NEVADA,6205643,6.36,0.0,0.85,0.0,4.925,0.0,0.0,0.0,2.685,2.9,5.995,2.505,4.545,1.49,0.276
NEW HAMPSHIRE,3568349,4.8100000000000005,0.0,0.745,0.0,3.37,0.0,0.0,0.0,2.455,2.6550000000000002,5.875,2.385,4.1850000000000005,1.48,0.272
NEW JERSEY,28758445,4.7,0.0,0.755,0.0,3.325,0.0,0.0,0.0,2.34,2.535,5.69,2.27,4.125,1.545,0.272
NEW MEXICO,3596267,6.33,0.0,0.8,0.0,4.890000000000001,0.0,0.0,0.005,2.81,3.0250000000000004,6.27,2.515,4.555,1.565,0.28400000000000003
NEW YORK,72915384,5.095000000000001,0.0,0.77,0.0,3.66,0.0,0.0,0.0,2.54,2.745,5.994999999999999,2.395,4.359999999999999,1.605,0.28400000000000003
NORTH CAROLINA,37608091,5.265,0.0,0.7849999999999999,0.0,3.795,0.0,0.0,0.0,2.64,2.85,6.130000000000001,2.46,4.445,1.625,0.28800000000000003
NORTH DAKOTA,1165724,5.615,0.0,0.7749999999999999,0.0,4.215,0.0,0.0,0.0,2.61,2.81,6.07,2.28,4.165,1.4100000000000001,0.264
OHIO,51477227,5.16,0.0,0.7,0.0,3.8049999999999997,0.0,0.0,0.0,2.5250000000000004,2.7350000000000003,6.07,2.27,4.24,1.585,0.28
OKLAHOMA,8322357,5.484999999999999,0.0,0.73,0.0,4.119999999999999,0.0,0.0,0.0,2.55,2.75,5.9350000000000005,2.415,4.455,1.66,0.29600000000000004
OREGON,9105145,6.720000000000001,0.0,0.875,0.0,5.25,0.0,0.0,0.0,2.805,3.025,6.17,2.575,4.529999999999999,1.45,0.272
Ontario,2073862,5.335,0.0,0.905,0.0,3.86,0.0,0.0,0.0,2.835,3.06,6.095,2.385,4.2,1.48,0.264
PENNSYLVANIA,52431501,5.12,0.0,0.77,0.0,3.685,0.0,0.0,0.0,2.5700000000000003,2.7800000000000002,6.08,2.39,4.335,1.615,0.28400000000000003
RHODE ISLAND,3867592,4.71,0.0,0.6950000000000001,0.0,3.34,0.0,0.0,0.0,2.325,2.525,5.76,2.25,4.14,1.625,0.28400000000000003
SOUTH CAROLINA,11854670,5.01,0.0,0.75,0.0,3.595,0.0,0.0,0.0,2.495,2.7,5.9399999999999995,2.37,4.325,1.615,0.28049999999999997
SOUTH DAKOTA,1319887,5.55,0.0,0.75,0.0,4.17,0.0,0.0,0.0,2.54,2.745,6.02,2.24,4.085,1.38,0.26
TENNESSEE,20333652,5.285,0.0,0.78,0.0,3.805,0.0,0.0,0.0,2.63,2.84,6.105,2.465,4.48,1.605,0.28800000000000003
TEXAS,101253394,5.615,0.0,0.795,0.0,4.18,0.0,0.0,0.0,2.6550000000000002,2.855,6.050000000000001,2.425,4.449999999999999,1.545,0.276
UTAH,5922630,6.37,0.0,0.85,0.0,4.875,0.0,0.0,0.0,2.785,2.995,6.13,2.5,4.470000000000001,1.44,0.268
VERMONT,1659883,5.035,0.0,0.7849999999999999,0.0,3.535,0.0,0.0,0.0,2.605,2.81,5.975,2.5300000000000002,4.45,1.605,0.29200000000000004
VIRGINIA,27162862,4.859999999999999,0.0,0.75,0.0,3.48,0.0,0.0,0.0,2.46,2.665,5.880000000000001,2.3,4.205,1.5350000000000001,0.272
WASHINGTON,16125447,6.744999999999999,0.0,0.905,0.0,5.27,0.0,0.0,0.0,2.8449999999999998,3.065,6.205,2.575,4.535,1.43,0.272
WEST VIRGINIA,4823541,5.035,0.0,0.775,0.0,3.64,0.0,0.0,0.0,2.59,2.785,5.92,2.455,4.49,1.66,0.29600000000000004
WISCONSIN,18063148,5.295,0.0,0.765,0.0,3.91,0.0,0.0,0.0,2.58,2.7800000000000002,6.15,2.285,4.220000000000001,1.4849999999999999,0.268
