Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-05-01 00:00,"3,320,851",5.69,6.45,2.58,4.96,2.64,2.76,0.89,0.00,0.00,4.49,0.00,0.00,0.00,"53,211",0.352,2.03,1.000
2024-05-02 00:00,"3,256,679",5.68,6.45,2.60,5.02,2.67,2.79,0.91,0.00,0.00,4.44,0.00,0.00,0.00,"45,359",0.344,2.02,1.000
2024-05-03 00:00,"3,212,379",5.57,6.37,2.54,4.89,2.57,2.69,0.87,0.00,0.00,4.41,0.00,0.00,0.00,"43,269",0.352,2.01,1.000
2024-05-04 00:00,"4,056,702",5.43,6.29,2.46,4.76,2.54,2.66,0.84,0.00,0.00,4.30,0.00,0.00,0.00,"52,761",0.344,2.02,1.000
2024-05-05 00:00,"3,923,930",5.33,6.18,2.46,4.72,2.50,2.61,0.84,0.00,0.00,4.20,0.00,0.00,0.00,"49,951",0.344,1.99,1.000
2024-05-06 00:00,"3,111,748",5.53,6.28,2.56,4.85,2.58,2.69,0.88,0.00,0.00,4.36,0.00,0.00,0.00,"42,674",0.344,2.01,1.000
2024-05-07 00:00,"3,119,364",5.53,6.22,2.52,4.84,2.57,2.68,0.87,0.00,0.00,4.37,0.00,0.00,0.00,"43,520",0.336,1.98,1.000
2024-05-08 00:00,"3,814,374",5.54,6.33,2.43,4.77,2.59,2.70,0.81,0.00,0.00,4.45,0.00,0.00,0.00,"53,431",0.360,2.32,1.029
2024-05-09 00:00,"3,100,384",5.38,6.08,2.48,4.75,2.52,2.63,0.84,0.00,0.00,4.28,0.00,0.00,0.00,"48,245",0.336,2.02,1.000
2024-05-10 00:00,"3,225,054",5.50,6.21,2.51,4.77,2.57,2.68,0.85,0.00,0.00,4.35,0.00,0.00,0.00,"41,169",0.336,2.01,1.000
2024-05-11 00:00,"3,746,233",5.45,6.17,2.48,4.75,2.54,2.65,0.84,0.00,0.00,4.32,0.00,0.00,0.00,"51,197",0.328,1.92,1.001
2024-05-12 00:00,"3,859,131",5.39,6.14,2.45,4.68,2.48,2.60,0.83,0.00,0.00,4.28,0.00,0.00,0.00,"52,944",0.328,1.96,1.033
2024-05-13 00:00,"3,170,071",5.53,6.32,2.55,4.88,2.58,2.70,0.88,0.00,0.00,4.37,0.00,0.00,0.00,"42,466",0.336,2.03,1.045
2024-05-14 00:00,"3,169,859",5.49,6.34,2.54,4.89,2.57,2.68,0.87,0.00,0.00,4.34,0.00,0.00,0.00,"43,073",0.328,2.04,1.053
2024-05-15 00:00,"3,305,285",5.54,6.36,2.53,4.87,2.58,2.70,0.82,0.00,0.00,4.38,0.00,0.00,0.00,"46,398",0.336,2.08,1.047
2024-05-16 00:00,"3,079,159",5.62,6.47,2.71,4.96,2.73,2.85,0.92,0.00,0.00,4.32,0.00,0.00,0.00,"51,323",0.320,1.96,1.018
2024-05-17 00:00,"3,369,965",5.59,6.39,2.54,4.75,2.69,2.81,0.89,0.00,0.00,4.37,0.00,0.00,0.00,"43,819",0.320,2.07,1.059
2024-05-18 00:00,"4,224,049",5.39,6.22,2.40,4.60,2.58,2.69,0.84,0.00,0.00,4.26,0.00,0.00,0.00,"56,721",0.320,2.04,1.068
2024-05-19 00:00,"4,244,133",5.30,6.11,2.37,4.53,2.49,2.60,0.82,0.00,0.00,4.18,0.00,0.00,0.00,"56,372",0.296,1.88,1.061
2024-05-20 00:00,"3,310,222",5.48,6.22,2.46,4.64,2.56,2.68,0.86,0.00,0.00,4.31,0.00,0.00,0.00,"47,211",0.296,1.87,1.049
2024-05-21 00:00,"3,409,355",5.44,6.12,2.41,4.58,2.55,2.67,0.85,0.00,0.00,4.26,0.00,0.00,0.00,"48,414",0.288,1.80,1.073
2024-05-22 00:00,"3,313,272",5.47,6.14,2.40,4.56,2.57,2.69,0.87,0.00,0.00,4.29,0.00,0.00,0.00,"48,033",0.280,1.80,1.069
2024-05-23 00:00,"3,502,678",5.44,6.16,2.38,4.54,2.57,2.69,0.86,0.00,0.00,4.27,0.00,0.00,0.00,"48,050",0.288,1.87,1.091
2024-05-24 00:00,"3,811,179",5.50,6.19,2.32,4.46,2.60,2.71,0.84,0.00,0.00,4.35,0.00,0.00,0.00,"49,467",0.288,1.92,1.095
2024-05-25 00:00,"4,224,715",5.37,6.07,2.27,4.37,2.52,2.63,0.83,0.00,0.00,4.24,0.00,0.00,0.00,"58,587",0.280,1.86,1.109
2024-05-26 00:00,"4,385,104",5.31,5.99,2.27,4.35,2.50,2.61,0.82,0.00,0.00,4.20,0.00,0.00,0.00,"60,961",0.272,1.80,1.102
2024-05-27 00:00,"4,736,376",5.16,5.85,2.24,4.36,2.43,2.54,0.80,0.00,0.00,4.07,0.00,0.00,0.00,"67,238",0.272,1.77,1.104
