Country,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),INP (s)
ALBANIA,21937,7.74,0.0,1.14,0.0,5.73,0.0,0.0,0.0,3.61,4.01,6.97,3.92,5.81,1.51,0.324
ARGENTINA,338942,10.36,0.0,1.71,0.0,8.06,0.0,0.0,0.025,4.6899999999999995,5.08,8.315000000000001,4.075,6.83,2.5700000000000003,0.4885
ARUBA,55426,7.73,0.0,0.87,0.0,6.045,0.0,0.0,0.025,3.6,3.935,7.26,2.86,5.585,2.35,0.42800000000000005
AUSTRALIA,441435,8.495000000000001,0.0,1.97,0.0,5.904999999999999,0.0,0.0,0.01,4.8149999999999995,5.12,8.115,4.35,6.805,1.62,0.307
BAHAMAS,125428,7.140000000000001,0.0,0.795,0.0,5.5600000000000005,0.0,0.0,0.015,3.455,3.8449999999999998,6.865,3.085,5.949999999999999,2.62,0.569
BARBADOS,53421,8.725,0.0,0.865,0.0,7.105,0.0,0.0,0.045,3.99,4.42,8.065,3.05,5.775,2.435,0.48450000000000004
BELIZE,69722,8.61,0.0,0.77,0.0,6.98,0.0,0.0,0.05,3.8200000000000003,4.325,7.85,2.95,5.800000000000001,2.535,0.5255
BRAZIL,480227,9.440000000000001,0.0,1.7200000000000002,0.0,7.095000000000001,0.0,0.0,0.015,4.585,4.925,8.125,4.02,6.585,2.2350000000000003,0.389
CANADA,5068427,5.735,0.0,0.91,0.0,4.245,0.0,0.0,0.0,2.895,3.12,6.115,2.4699999999999998,4.315,1.4500000000000002,0.265
CHILE,110236,9.995000000000001,0.0,1.645,0.0,7.7,0.0,0.0,0.025,4.605,4.965,8.440000000000001,3.84,6.395,2.35,0.3745
CHINA,28723,8.12,0.0,1.14,0.0,5.9,0.0,0.0,0.01,3.84,4.2,7.3,3.91,5.86,1.33,0.316
COLOMBIA,611732,8.364999999999998,0.0,1.21,0.0,6.38,0.0,0.0,0.02,3.965,4.355,7.709999999999999,3.395,5.905,2.58,0.4535
COSTA RICA,364343,7.01,0.0,0.895,0.0,5.33,0.0,0.0,0.015,3.36,3.675,6.92,2.805,5.164999999999999,2.125,0.3595
Cook Islands,23955,8.03,0.0,0.83,0.0,6.76,0.0,0.0,0.05,3.82,4.06,8.38,2.95,6.03,3.32,0.528
DOMINICAN REPUBLIC,119536,7.23,0.0,0.87,0.0,5.89,0.0,0.0,0.0,3.57,3.73,7.03,2.94,6.0,3.21,0.545
ECUADOR,270924,8.965,0.0,1.25,0.0,6.925,0.0,0.0,0.03,4.220000000000001,4.63,8.245000000000001,3.42,6.225,2.83,0.477
EL SALVADOR,180050,7.779999999999999,0.0,0.845,0.0,6.195,0.0,0.0,0.03,3.51,3.885,7.5600000000000005,2.71,5.210000000000001,2.52,0.41300000000000003
GERMANY,374427,6.12,0.0,0.91,0.0,4.395,0.0,0.0,0.01,3.125,3.3600000000000003,6.755,2.66,4.640000000000001,1.3250000000000002,0.252
GUAM,59136,8.285,0.0,1.2349999999999999,0.0,6.48,0.0,0.0,0.0,3.69,3.91,6.720000000000001,3.175,5.265000000000001,1.32,0.248
GUATEMALA,250410,6.885,0.0,0.8999999999999999,0.0,5.27,0.0,0.0,0.02,3.325,3.62,6.975,2.8,5.165,2.145,0.358
HONDURAS,196849,6.885,0.0,0.825,0.0,5.395,0.0,0.0,0.015,3.195,3.5,6.795,2.59,4.995,2.135,0.3565
HONG KONG,125058,9.555,0.0,1.7449999999999999,0.0,7.13,0.0,0.0,0.01,4.675,4.965,8.09,4.295,6.720000000000001,1.51,0.28
INDIA,386423,11.809999999999999,0.0,1.985,0.0,9.2,0.0,0.0,0.12,5.609999999999999,6.135,9.515,4.705,6.915,1.875,0.373
INDONESIA,138030,10.39,0.0,1.79,0.0,7.925000000000001,0.0,0.0,0.045,4.99,5.4399999999999995,8.62,4.68,7.105,2.1550000000000002,0.393
ISRAEL,185425,8.89,0.0,1.5350000000000001,0.0,6.5649999999999995,0.0,0.0,0.015,4.41,4.7,7.984999999999999,3.82,6.05,1.65,0.299
