ISP,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),INP (s)
AT&T Internet Services,32723120,6.545,0.0,0.9199999999999999,0.0,4.865,0.0,0.0,0.0,3.175,3.38,6.5,2.735,4.845,1.44,0.272
AT&T Services,5471441,6.125,0.0,0.87,0.0,4.535,0.0,0.0,0.0,3.025,3.23,6.295,2.6399999999999997,4.73,1.585,0.29200000000000004
AT&T U-verse,94148637,4.975,0.0,0.75,0.0,3.5700000000000003,0.0,0.0,0.0,2.365,2.5700000000000003,5.665,2.29,4.205,1.505,0.268
AT&T Wireless,71370532,6.86,0.0,0.9450000000000001,0.0,5.145,0.0,0.0,0.0,3.38,3.59,6.7,2.86,5.1,1.565,0.29600000000000004
ATT Wireless,6143649,6.335000000000001,0.0,0.915,0.0,4.654999999999999,0.0,0.0,0.0,3.165,3.37,6.55,2.71,4.865,1.47,0.272
Akamai Technologies,2488181,4.779999999999999,0.0,0.8049999999999999,0.0,3.325,0.0,0.0,0.0,2.34,2.5250000000000004,5.15,4.645,8.945,2.925,0.528
Armstrong Cable,3744659,5.21,0.0,0.745,0.0,3.7800000000000002,0.0,0.0,0.0,2.605,2.8,6.01,2.37,4.305,1.495,0.28
Atlantic Broadband,3301457,5.025,0.0,0.775,0.0,3.625,0.0,0.0,0.0,2.56,2.77,6.045,2.345,4.215,1.605,0.28800000000000003
Aureon Network Services,1145427,4.975,0.0,0.75,0.0,3.69,0.0,0.0,0.0,2.39,2.575,5.8,2.1100000000000003,3.9299999999999997,1.4100000000000001,0.249
Buckeye Cablevision,1312175,4.85,0.0,0.605,0.0,3.645,0.0,0.0,0.0,2.1799999999999997,2.39,5.795,2.03,4.095,1.6199999999999999,0.28400000000000003
C Spire,829803,5.46,0.0,0.74,0.0,4.26,0.0,0.0,0.0,2.77,2.89,5.8,2.65,5.38,2.15,0.336
