Page Name,Page Views,Onload (s),First Byte (s),Largest Contentful Paint (s),Interaction to Next Paint (s),Cumulative Layout Shift,LCP Time to First Byte (ms),LCP Resource Load Delay (ms),LCP Resource Load Time (ms),LCP Element Render Delay (ms),LCP Time to First Byte (%),LCP Resource Load Delay (%),LCP Resource Load Time (%),LCP Element Render Delay (%),INP Start (ms),INP Input Delay (ms),INP Next Paint Time (ms)
MAUI,3347,1.91,0.53,3.95,0.09,0.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12240.0,0.0,0.0
CART,24515,1.14,0.26,3.17,0.16,1.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CART,705,0.97,0.28,2.68,0.11,2.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CART,63434,1.48,0.3,3.13,0.14,2.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CART,30,9.69,1.25,2.53,0.06,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CART,743,1.44,0.33,2.85,0.1,2.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHECKOUT,111,0.94,0.32,3.41,0.14,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHECKOUT,12,1.23,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHECKOUT,2021,0.86,0.27,2.86,0.21,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHECKOUT,8,2.46,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CART,36,1.36,0.36,3.41,0.15,0.137,416.0,1027.0,47.0,2047.0,12.0,31.0,2.0,60.0,10421.0,9.0,10581.0
HOME,136546,8.615,0.43,3.15,0.715,0.018,500.5,1195.0,40.0,981.0,25.0,39.0,2.0,37.0,7192.5,101.0,7597.0
HOME,74465392,5.4399999999999995,0.49,2.865,0.215,0.224,293.5,548.0,196.0,395.0,17.0,27.5,9.5,24.5,25441.0,37.5,7998.5
HOME,2765,4.96,0.46,3.16,0.36,0.164,603.0,1289.0,430.0,805.0,34.0,52.0,22.0,37.0,29234.0,139.0,29710.0
HOME,3072,2.04,0.38,1.49,0.14,0.138,429.0,343.0,60.0,554.0,44.0,39.0,7.0,54.0,19288.0,37.0,19439.0
HOME,3292,14.63,1.23,5.55,0.49,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOME,3272,14.34,1.24,5.5,0.4,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOME,7916,7.0,1.09,4.71,0.22,0.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOME,200385,5.625,1.1150000000000002,3.25,0.17,0.20500000000000002,637.0,471.5,156.0,334.5,27.5,20.5,7.0,18.5,8450.0,23.5,8479.5
HOME,2878,5.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOME,3637,6.22,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
